Left_x,Left_y,Right_x,Right_y,time(s),Encoder,Scissor_metric
-0.508058688,0.069424169,-0.304719933,-0.065865993,25.61445117,1.025641931,-0.203338755
-0.508058688,0.069424169,-0.304719933,-0.065865993,25.71205354,1.032455026,-0.203338755
-0.510943519,0.072279124,-0.366855603,-0.094423276,25.81711078,1.019731746,-0.144087916
-0.376605496,0.065599479,-0.43783142,-0.104695066,25.91813111,1.00736967,0.061225925
-0.376605496,0.065599479,-0.43783142,-0.104695066,26.01782775,0.964783739,0.061225925
-0.287170067,0.056687844,-0.476837302,-0.092072025,26.12018895,0.998258235,0.189667234
-0.287170067,0.056687844,-0.476837302,-0.092072025,26.21260905,1.013115692,0.189667234
-0.287170067,0.056687844,-0.476837302,-0.092072025,26.3121345,1.030846131,0.189667234
-0.300574731,0.049241323,-0.386434895,-0.101080708,26.41231179,1.037248804,0.085860164
-0.300574731,0.049241323,-0.386434895,-0.101080708,26.51259136,1.031437169,0.085860164
-0.368601629,0.052475327,-0.292499893,-0.083147177,26.65583301,1.02161975,-0.076101736
-0.441262773,0.067952609,-0.31723236,-0.074726101,26.71581316,1.013903715,-0.124030413
-0.441262773,0.067952609,-0.31723236,-0.074726101,26.81858873,1.011359059,-0.124030413
-0.441262773,0.067952609,-0.31723236,-0.074726101,26.91656232,1.041697861,-0.124030413
-0.441262773,0.067952609,-0.31723236,-0.074726101,27.01424074,1.040006869,-0.124030413
-0.505100647,0.068996082,-0.347630289,-0.095306589,27.11232829,1.040006869,-0.157470357
-0.370408563,0.055665228,-0.42494816,-0.108263687,27.21203685,1.03848007,0.054539597
-0.370408563,0.055665228,-0.42494816,-0.108263687,27.31726456,1.053091297,0.054539597
-0.279844001,0.053148757,-0.47482752,-0.097563653,27.4201088,1.053091297,0.194983519
-0.279844001,0.053148757,-0.47482752,-0.097563653,27.51919198,1.067735373,0.194983519
-0.279844001,0.053148757,-0.47482752,-0.097563653,27.61615324,1.067735373,0.194983519
-0.279844001,0.053148757,-0.47482752,-0.097563653,27.71838164,1.063023662,0.194983519
-0.279844001,0.053148757,-0.47482752,-0.097563653,27.81252956,1.03767568,0.194983519
-0.279844001,0.053148757,-0.47482752,-0.097563653,27.91183305,1.021422766,0.194983519
